instance_name,Num Vehicles,Best Distance,AVG Distance,Std Distance,AVG Runtime (s),Std Runtime (s)
C101_co_100.txt,10,827.942,836.136,9.09487,252.297,67.0174
C102_co_100.txt,11,995.444,1005.05,6.69665,336.912,96.9548
C103_co_100.txt,10,848.883,880.441,30.627,545.642,190.976
C104_co_100.txt,10,694.926,705.802,10.089,241.907,59.2704
C105_co_100.txt,10,949.364,986.913,14.8619,237.262,37.7496
C106_co_100.txt,10,867.865,907.733,29.2651,193.548,41.5618
C107_co_100.txt,10,1008.66,1038.72,23.925,225.795,53.2614
C108_co_100.txt,10,784.775,796.509,13.4763,251.449,32.9766
C109_co_100.txt,10,803.773,826.492,21.4195,217.487,51.8163
C202_co_100.txt,3,483.07,504.274,14.9666,169.193,35.2589
C203_co_100.txt,3,495.922,521.491,19.9544,232.682,42.9961
C204_co_100.txt,3,492.311,533.95,23.3769,203.635,26.6097
C205_co_100.txt,3,437.444,458.634,16.1489,195.547,28.0499
C206_co_100.txt,4,623.282,656.81,19.5575,221.541,42.6002
C207_co_100.txt,3,465.636,491.334,21.7568,189.434,41.9835
C208_co_100.txt,4,528.429,553.935,24.9271,188.829,26.2371
R102_co_100.txt,8,655.881,675.47,14.7265,206.314,45.631
R103_co_100.txt,8,672.945,687.277,13.5215,258.852,34.437
R104_co_100.txt,8,644.122,665.228,15.0289,231.78,36.6577
R106_co_100.txt,9,666.164,683.036,11.601,233.128,53.4116
R107_co_100.txt,9,679.623,696.04,11.7704,212.903,43.8045
R108_co_100.txt,8,552.287,572.129,11.5025,259.059,58.5568
R109_co_100.txt,8,639.463,666.898,24.1644,241.739,48.6024
R111_co_100.txt,8,688.102,727.838,33.9314,230.229,47.4536
R112_co_100.txt,8,681.85,927.202,622.985,227.244,98.1766
R201_co_100.txt,6,689.833,714.88,13.8995,176.14,26.4498
R203_co_100.txt,5,563.476,581.492,16.5375,182.254,15.0761
R204_co_100.txt,2,392.179,422.528,23.1032,216.456,46.7685
R207_co_100.txt,3,488.724,511.853,11.6267,210.208,42.0267
R209_co_100.txt,3,434.174,465.307,15.7739,195.727,35.7991
R210_co_100.txt,4,556.595,581.763,16.3435,179.713,28.5029
R211_co_100.txt,2,425.619,630.426,538.063,225.295,74.4913
RC104_co_100.txt,9,866.235,890.085,11.7788,289.647,64.6881
RC107_co_100.txt,9,794.253,821.165,21.2813,235.707,61.7291
RC108_co_100.txt,9,925.562,996.081,37.7416,269.699,93.5747
RC201_co_100.txt,5,670.285,725.062,28.3339,172.817,16.7807
RC202_co_100.txt,4,594.64,629.542,17.5417,196.601,42.0595
RC203_co_100.txt,3,658.473,688.822,19.0724,197.708,21.213
RC204_co_100.txt,2,493.397,506.036,6.78616,184.698,35.5012
RC205_co_100.txt,5,725.632,759.707,19.1113,181.691,26.3886
RC206_co_100.txt,4,563.578,588.333,30.8388,186.961,33.3309
C201_co_100.txt,3,516.188,571.13,29.8219,318.997,67.8724
R101_co_100.txt,9,694.126,704.221,9.49441,330.788,38.4955
R105_co_100.txt,8,695.496,703.89,7.00389,396.892,126.637
R110_co_100.txt,8,645.673,656.782,12.2256,472.256,53.0665
R202_co_100.txt,4,602.461,643.924,22.9123,310.9,55.3715
R205_co_100.txt,3,478.519,490.634,14.0811,326.679,44.7607
R206_co_100.txt,3,529.52,546.485,8.11547,377.471,69.2108
R208_co_100.txt,2,356.316,371.249,21.0143,435.778,90.055
RC101_co_100.txt,10,954.918,979.32,17.623,406.378,66.7349
RC102_co_100.txt,9,908.779,936.079,15.284,590.042,80.2585
RC103_co_100.txt,9,992.237,1061.23,34.3188,507.875,142.035
RC105_co_100.txt,9,1003.86,1034.6,24.945,429.223,94.9267
RC106_co_100.txt,9,813.832,829.126,15.0306,548.011,205.908
RC207_co_100.txt,4,630.069,644.33,10.5016,434.179,61.3443
RC208_co_100.txt,2,458.008,489.439,19.6896,419.931,119.462
